instance,method,status,feasible,optimal,objective,best_bound,gap,time_sec
"MVPRP3_10_9_2","lbbd","LBBD_GlobalTimeLimit_NoIncumbent(iter=0,feasCuts=0,optCuts=0,lpDualCuts=0,incPruneCuts=0,targetPruneCuts=0)",false,false,NaN,NaN,NaN,1266.978640
"MVPRP3_10_9_3","origin","Feasible",true,false,101996.310902,97899.681998,0.040164,600.021913
"MVPRP3_10_9_3","reform","Feasible",true,false,101996.310902,97774.364448,0.041393,600.041686
"MVPRP3_10_9_3","lbbd_no_init","LBBD_Converged(iter=104,feasCuts=0,optCuts=102,lpDualCuts=232,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,101996.310902,101996.310902,0.000000,544.173755
"MVPRP3_10_9_3","lbbd","LBBD_Converged(iter=111,feasCuts=0,optCuts=109,lpDualCuts=240,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,101996.310902,101996.310902,0.000000,522.788707
"MVPRP4_10_3_2","origin","Optimal",true,true,21446.395520,21446.395520,0.000000,0.543696
"MVPRP4_10_3_2","reform","Optimal",true,true,21446.395520,21446.395520,0.000000,0.382827
"MVPRP4_10_3_2","lbbd_no_init","LBBD_Converged(iter=19,feasCuts=0,optCuts=17,lpDualCuts=25,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,21446.395520,21446.395520,0.000000,0.564074
"MVPRP4_10_3_2","lbbd","LBBD_Converged(iter=19,feasCuts=0,optCuts=17,lpDualCuts=25,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,21446.395520,21446.395520,0.000000,21.462568
"MVPRP4_10_3_3","origin","Optimal",true,true,21710.242373,21710.242373,0.000000,0.207502
"MVPRP4_10_3_3","reform","Optimal",true,true,21710.242373,21710.242373,0.000000,0.233947
"MVPRP4_10_3_3","lbbd_no_init","LBBD_Converged(iter=15,feasCuts=0,optCuts=13,lpDualCuts=18,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,21710.242373,21710.242373,0.000000,0.426307
"MVPRP4_10_3_3","lbbd","LBBD_Converged(iter=15,feasCuts=0,optCuts=13,lpDualCuts=18,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,21710.242373,21710.242373,0.000000,6.296189
"MVPRP4_10_6_2","origin","Optimal",true,true,40798.266068,40798.262574,0.000000,3.789286
"MVPRP4_10_6_2","reform","Optimal",true,true,40798.266068,40798.266068,0.000000,1.618159
"MVPRP4_10_6_2","lbbd_no_init","LBBD_Converged(iter=6,feasCuts=0,optCuts=4,lpDualCuts=12,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,40798.266068,40798.266068,0.000000,1.762582
"MVPRP4_10_6_2","lbbd","LBBD_GlobalTimeLimit_NoIncumbent(iter=0,feasCuts=0,optCuts=0,lpDualCuts=0,incPruneCuts=0,targetPruneCuts=0)",false,false,NaN,NaN,NaN,645.127905
"MVPRP4_10_6_3","origin","Optimal",true,true,41823.614160,41823.574902,0.000001,42.967259
"MVPRP4_10_6_3","reform","Optimal",true,true,41823.614160,41823.573487,0.000001,56.115502
"MVPRP4_10_6_3","lbbd_no_init","LBBD_Converged(iter=8,feasCuts=0,optCuts=6,lpDualCuts=17,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,41823.614160,41823.614160,0.000000,1.623337
